id,tweet,cleaned_tweet,subtask_a,subtask_b,subtask_c
56392,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.,like soda like like boarders lot ice,NOT,,
86735,@USER you are also the king of taste,also king taste,NOT,,
95686,#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL,maga sing like one listening ♥ ️ love like never hurt ✔ ️ vote gop one watching listen liberals dirt,NOT,,
71446,"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist""",5 5 time right house respond concerns canadians four five canadians support stronger gun control good reason guncontrol cdnpoli cdnhist,NOT,,
23958,@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂,besides jax mom maybe ope hands favorite like good person show,NOT,,
28195,@USER @USER @USER gun control! That is all these kids are asking for!,gun control kids asking,OFF,TIN,OTH
56117,@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL,lol throwing bullshit flag nonsense putuporshutup kavanaugh maga callthevotealready,OFF,TIN,IND
67757,@USER @USER You are correct.,correct,NOT,,
12681,@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?,kind like conservatives wanna associate everyone left communist antifa members,OFF,TIN,GRP
82904,@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔,da fuck going people men room women room pick one stick w,OFF,TIN,GRP
63236,@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL,willie fan since born love holding rally beto exactly fans furious could give specifics,NOT,,
77665,@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,tbh days like people general connect people days annoyance,OFF,TIN,IND
83484,"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising""",south korean official leaders discuss specific denuke measures pyongyang tcot maga rednationrising,NOT,,
74932,@USER @USER You can tell he is a hooper too,tell hooper,NOT,,
91252,@USER I feel like he is better chasing the title,feel like better chasing title,NOT,,
25440,@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?,referring hillary know tiresome bernie supporters bashing hillary clinton actual democrat raises money democratic party bash positive message dividing left,OFF,UNT,
81613,@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL,glad see friends supporting metis rights much supporting zionists,NOT,,
82333,@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀,yes asking movie ‍ ♂ ️,NOT,,
12609,The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK,thing democrats lying stalling stop trump president done lately trump kavanaugh maga demsuck,OFF,TIN,GRP
13017,@USER No wonder he is being apologetic and more social these day....,wonder apologetic social day,NOT,,
18129,@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL,updates ending blatant racism windrush grenfell proves alloutpolitics politicslive pmqs,NOT,,
70380,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.,know going happen going lay bed cry listen kelly clarkson thanks free speech antifa,NOT,,
12108,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL,smart think gen flynn sentencing keeps rescheduled,OFF,TIN,IND
14726,@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke,expected placate violent leftists terrorists kavanaughconfirmation woke,OFF,TIN,GRP
74358,@USER Blow hard,blow hard,NOT,,
82599,@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game,means max lvl twitter user maybe try new game,NOT,,
40212,"@USER @USER Please explain what controlled opposition"" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be.""",please explain controlled opposition means bernier escaping split rest conservatives even racist exclusionary want,NOT,,
78367,@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.,socialists politics stand downtrodden well done conflating criticism israel anti semitism also part problem,NOT,,
66596,3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.,3 nina one reasons read book long worried character trusted everyone nina goddamn goddess would die thousand times big bold lovely perfect arc perfect,NOT,,
70999,.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh,please vote kavanaugh fit scotus allegations women shady financials disqualify ruleoflaw matters metoo countryoverparty withdrawkavanaugh stopkavanaugh,NOT,,
36026,"@USER @USER Ppl who say I'm not racist"" are racist. You Are A Racist. Repeat after me""",ppl say racist racist racist repeat,NOT,,
29439,@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀,kathy patriot love great president trump spine u steel changing trade everything americans americafirst usa maga leadership respect economy jobs peacethrustrength god bless trump theusa,NOT,,
74477,@USER Wow you liberals really don’t have a sense of humor.🙄,wow liberals really sense humor,NOT,,
49845,@USER I'M SO FUCKING READY,fucking ready,NOT,,
32305,@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic,holy moly catholic people awakened falseprophet lunatic,NOT,,
77243,@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc,lol yeah per dina everyday per claudia horse got vet care unless donation example limping etc,NOT,,
73205,@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.,surprise antifa blm soros americas worst enemy history believes way take usa withing hes right gunna happen,NOT,,
47311,@USER Me too! Her wedding was the best! She is very pretty!,wedding best pretty,NOT,,
48553,@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.,conflict look soros involved violent left agenda antifa also,NOT,,
75689,@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes,announcements every come fruition basically stealing labour ideas get votes,NOT,,
84102,4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???,4 10 british people basically full racists 4 10 voters vote conservatives coincidence,OFF,TIN,GRP
10607,#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL,guncontrol advocates must stop falling assure electorate love horrific 2a,NOT,,
43913,@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?,hi love huge fan camila mendes would alright used tweet promotional material,NOT,,
98992,@USER Fuck off,fuck,OFF,TIN,IND
92056,@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion,certainly weird view toward margaret sanger geonicidal philosophy aborting minorities like know black population suffers shares opinion,NOT,,
33853,"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""""",prison system fucked still getting away potentially murder intent prisoners die hurricane louisiana like 500 inmates went missing,OFF,TIN,OTH
75215,@USER @USER She is useless.  Attempts to do the right thing but never follows through.,useless attempts right thing never follows,OFF,TIN,IND
96218,#WalkAway liberals......Your party is POISON. URL,walkaway liberals party poison,NOT,,
57013,@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.,grateful trump dog white house cruel man,OFF,TIN,IND
20883,@USER You are lying. Stick with the facts. We pay more than that now.,lying stick facts pay,NOT,,
74831,@USER Trump kicks dem butt - its so fun.,trump kicks dem butt fun,OFF,TIN,IND
53264,@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.,dumb dumber one president two one,OFF,TIN,IND
28204,#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL,toxictory minister attempted expense £ 50 charity donation toriesmustgo dissolvetheunion,NOT,,
42024,@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍,ur straight forword man saw u dance dewwane ur talk free ky ap kitnay porrany ho industry mein really like ur quality u even gather ur senior artist love manmarziyaan,NOT,,
84664,@USER And this from the clown that should be in prison?,clown prison,OFF,TIN,IND
54842,@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL,twitter silence alex jones retaliation asking twitter jack questions,NOT,,
48995,@USER Thats because you are an old man.,thats old man,OFF,TIN,IND
47153,@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!,obstructionists anti american pharisees ask running get nothing maga,OFF,TIN,OTH
76826,"@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""..right now U know SQUAT about either..""",2 represent alinskyite orwellian leftist toolfool view things like 99 9 marxistsantifa similar 2u psst b4u use words fascist fascism go ahead read souza book big lie right u know squat either,NOT,,
27645,"@USER I do remember. :( But somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things.""",remember somehow centrist antifa haters never quite seem bring condemn things,NOT,,
64429,@USER I mean it worked for gun control right? URL,mean worked gun control right,OFF,TIN,GRP
20943,@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.,think last thing wh trump mind april ryan needs stop flattering important thinks,NOT,,
78064,@USER Principled conservatives are #Hypocrickets,principled conservatives hypocrickets,NOT,,
14122,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa,forget democrat backed antifa,NOT,,
72353,@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️,beautiful person teach values kids teaching royalty keep keep going heads stay real ❤ ️,NOT,,
39051,@USER Bring out his Antifa criminal son to campaign for him,bring antifa criminal son campaign,NOT,,
54546,@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.,watch watch watching september 11th stories came together stood shoulder shoulder made proud even issues yet people playing damn game cannot stand moment protest saturday,NOT,,
50759,A tear is made of 1% water and 99% feelings.,tear made 1 water 99 feelings,NOT,,
75992,"@USER @USER Trump addresses gun control representing the NRA.  I will not let you down"" he says. URL",trump addresses gun control representing nra let says,NOT,,
45068,@USER She is drinking so much koolaid she’s bloated.,drinking much koolaid bloated,OFF,TIN,IND
17259,@USER Holder needs to be prosecuted,holder needs prosecuted,NOT,,
95225,@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!,players women women color,NOT,,
84667,@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!,institution let tweet behaves window licker,OFF,TIN,IND
14574,*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*,babysitting 3 kids people old think three kids dont get mad get mad know know,NOT,,
23784,@USER well...? URL,well,NOT,,
93119,WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL,wtc threat maga qanon wakeupamerica,OFF,TIN,IND
30115,"@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA"" and get the base level emotional response their content requires in order to be profitable.""",easily digestible content need nuance even understand story show picture antifa get base level emotional response content requires order profitable,NOT,,
69281,@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.,try looking plain old democrats liberals ones conversation,NOT,,
15322,@USER Great news! Old moonbeam Just went into a coma! 😂,great news old moonbeam went coma,NOT,,
75089,@USER OMG HE IS SO EXTRA ILY,omg extra ily,NOT,,
21379,@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!,please call trump narcissistic sociopath,OFF,TIN,IND
43133,@USER @USER Unfortunately in America a system like that would be called racist. Liberals believe exams are racist against minority groups.,unfortunately america system like would called racist liberals believe exams racist minority groups,NOT,,
52102,@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!,know still alive wondering career railroaded odd loved especially day,NOT,,
59537,@USER @USER Guy you are always present...bet why? Lol,guy always present bet lol,NOT,,
44209,@USER @USER what a baby! URL,baby,NOT,,
96664,@USER you are very persuasive fam,persuasive fam,NOT,,
12559,@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL,nothing new going vote anyway vote liberals november,NOT,,
61914,@USER Burt. A cool dude.,burt cool dude,NOT,,
32317,#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.,maga trump follow follow back,NOT,,
94767,@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy,thank u finally point okay using heat happy,NOT,,
64835,@USER Kind of like what trump does all the time huh?,kind like trump time huh,NOT,,
41353,@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.,former antifa white house arrest citizen arrest someone explain,NOT,,
52252,@USER Fuck em,fuck em,OFF,TIN,GRP
91001,@USER Good move....he is the big loser,good move big loser,OFF,TIN,IND
18495,@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce,let get bottom dm zipcode check back make sure enjoying best tv offer asap nevinbruce,NOT,,
76680,@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.,record know doug jones personally sen bc credible choice next election,NOT,,
88013,@USER The president’s feelings are totally opposite of CNN’s feelings. So what does that say about CNN? They’re all liberals.,president feelings totally opposite cnn feelings say cnn liberals,NOT,,
66349,"@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin."" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash""",literally narrative par nazis punch antifa punch two sides coin noooooooo one groups wants exterminate deport poc jews wants prevent comparison benefits fash,OFF,UNT,
80561,@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.,many dumb arguments gun control may dumbest common,OFF,TIN,IND
16052,@USER she is idk what's going on,idk going,NOT,,
49996,@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL,yall need chill really abysmal 2nd half rizzo abysmal 1st half baseball happens things still needs work yes power numbers dropped yes could bounce back anytime,NOT,,
77086,@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!,dude old lmao ps go pack go,NOT,,
10972,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.,trump supporters even wear hat without abused meet animals left attack antifa branch communist socialist nazis democrat party,NOT,,
69160,@USER The laughs I’ve gotten from you are enough. 😌,laughs gotten enough,NOT,,
28380,@USER @USER @USER well?,well,NOT,,
40252,@USER @USER @USER First of all— they don’t even have pizza at Panera,first even pizza panera,NOT,,
39907,@USER @USER @USER please don't kill me. antifa on the other hand...,please kill antifa hand,OFF,TIN,IND
16164,@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.,see shanahan say spoon 100 healthy game obviously excuses maybe doom sort thing seemed game maybe still pretty good,NOT,,
52824,@USER Good girl @USER,good girl,NOT,,
77294,@USER @USER She is an ugly black hearted troll URL,ugly black hearted troll,OFF,TIN,IND
13420,@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.,clearly pokemon master almost 400 rare candy alone 150 legacy moveset pokemon depends like keep collection pieces value game,NOT,,
16940,@USER Dont believe the hype.,dont believe hype,OFF,UNT,
83816,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.,followed new maga please follow back,NOT,,
99156,#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL,protests reported sunderland except football fan one flag says westbrom getting worse even type maga mega mbga mcga conservatives patriots muslims farleft leftists doomed lose realises civilwar soon,NOT,,
11255,"@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity.""""",liberals would still vote claim comments taken context still man integrity,NOT,,
28841,@USER @USER We have been saved from you! MAGA!,saved maga,OFF,TIN,IND
79060,@USER You are bringing up honor and decency? With that yoyo in the picture? That's rich.,bringing honor decency yoyo picture rich,NOT,,
71682,@USER Good riddance.,good riddance,NOT,,
17577,@USER She is a goddess,goddess,NOT,,
27503,"@USER Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..."" and the rest standin there like ""....nope he is no suffering"" ""so he is dead!"" ""...yeah, pretty dead""""",omg xd worst best case best cuase made laught part asking dead hurts poor thing rest standin like nope suffering dead yeah pretty dead,NOT,,
59998,"@USER You can probably imagine all the SJW snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century.""",probably imagine sjw snowflakes feel safe working might conservatives lurking shadows conservatives ruskies 21st century,OFF,TIN,IND
81119,@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!,see may light even last election conservatives split coming tory partyvery soon,NOT,,
28812,@USER This all I get 😢 damn these haters deleting you IG for no reason... URL,get damn haters deleting ig reason,OFF,TIN,GRP
84131,@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?,think canadian liberals actually blame trudeau costs per standard push us,NOT,,
23179,@USER    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.,warned everyone josh gordon last 4 months daily basis sure shocked transpired today,NOT,,
28601,@USER @USER @USER Why can't liberals read??????  READ it AGAIN URL,liberals read read,NOT,,
64776,@USER SJSHSJ THATS MY JOB BITCH,sjshsj thats job bitch,OFF,TIN,IND
95712,@USER Do they discuss Haiti?,discuss haiti,NOT,,
69972,@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat,part collusion get dumocrat,OFF,TIN,IND
37115,@USER He is very skilled😂😂,skilled,NOT,,
80696,@USER You are amazing 💛💛💛,amazing,NOT,,
68163,@USER Fist pump was for the troops.,fist pump troops,NOT,,
96789,"@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!""",reason farakans illegal values black muslim would reason detest believe illegal values simply result bad character like supporters,OFF,TIN,GRP
68629,@USER Let the leftist democrats riot in the streets with their antifa counterparts.,let leftist democrats riot streets antifa counterparts,OFF,TIN,IND
66109,@USER I thought Canada had strict gun control.  Help me understand what is happening.,thought canada strict gun control help understand happening,NOT,,
19419,@USER They don’t want you following people because they don’t like conservatives! Sickening  how biased Twitter’s management is. #TwitterLeftBias,want following people like conservatives sickening biased twitter management twitterleftbias,NOT,,
32942,@USER He is doing life tho😑,life tho,NOT,,
74285,@USER It's SO VERY IMPORTANT between now and the midterms to get the word out that all the #democrats want people of color to believe is they support them - which as you know is SO false. How can the word spread even more to those who need to know? #MAGA #NAACP,important midterms get word democrats want people color believe support know false word spread even need know maga naacp,NOT,,
77319,@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.,antifa giving death threats professor ford threatening violence candidate loses spanky impeached,OFF,TIN,IND
30517,@USER @USER @USER Have you seen or listened to your ANTIFA pals?,seen listened antifa pals,NOT,,
69077,@USER @USER In case of antifa take a little bat or something. Good for you- more of should do that kind of thing.,case antifa take little bat something good kind thing,NOT,,
67758,@USER Your titles scare me a little bit. ;-),titles scare little bit,NOT,,
35944,@USER &gt;Eradicating HIV and Malaria in the middle of Africa  Good bloody luck,eradicating hiv malaria middle africa good bloody luck,NOT,,
48223,@USER @USER The only interaction of Tory volunteers with FCP volunteers that I witnessed today was the one demanding that our float be moved to the back of the parade. #ableg #cdnpoli,interaction tory volunteers fcp volunteers witnessed today one demanding float moved back parade ableg cdnpoli,NOT,,
47168,@USER And who seems to be getting things done.,seems getting things done,NOT,,
53947,I added a video to a @USER playlist URL Combat mon frere vs Ismael et Maga assassin vs David le boxer (YFC 2),added video playlist combat mon frere vs ismael et maga assassin vs david le boxer yfc 2,NOT,,
49504,@USER So has the Law changed...you just make an allegation now days and your guilty until proven innocent. Liberals are mentally ill!,law changed make allegation days guilty proven innocent liberals mentally ill,OFF,TIN,GRP
66291,@USER Straight up different.  Thank Joe Biden for that one.  I also wonder the outcome if her name had been Antifa Hill.,straight different thank joe biden one also wonder outcome name antifa hill,NOT,,
31229,@USER This game sucks donkey balls,game sucks donkey balls,OFF,TIN,GRP
75850,@USER Yo for real you are gorgeous,yo real gorgeous,NOT,,
88546,@USER Absolutely should be a nail in the coffin.... for Hilliary,absolutely nail coffin hilliary,OFF,TIN,IND
29241,@USER @USER I hope he gets on twitter so I can tell him how amazing he is. ❤😄,hope gets twitter tell amazing ❤,NOT,,
19842,@USER Who are “they” Gun control has been tried and is a proven failure. This is why people don’t vote democrat. They refuse to admit reality. Gun control doesn’t work.,gun control tried proven failure people vote democrat refuse admit reality gun control work,NOT,,
69232,@USER So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary.,overwhelming liberals populated states make policy rest america clue california biggest population mean u shares values get clue hillary,NOT,,
36471,@USER @USER Doesn't he partly fund Antifa?,partly fund antifa,NOT,,
32897,@USER He is a DUMBASS !!!!!,dumbass,OFF,TIN,IND
62072,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL,levistrauss wanting gun control many us wonder heck want freedoms taken away selective freedoms,OFF,TIN,GRP
95444,@USER At this point in time... I don't think Pres. Trump gives a sh*t... and neither do I! LOL URL,point time think pres trump gives sh neither lol,OFF,TIN,IND
51172,@USER @USER O.K. Conservatives get to the polls. Vote red.,k conservatives get polls vote red,NOT,,
62481,@USER donnie jr. you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pockets while your father is unfit and making a mockery of our republic. Shame on you and your family. Justice will prevail,donnie jr family owe country apology taking criminal activities white house lining pockets father unfit making mockery republic shame family justice prevail,OFF,TIN,IND
71895,"A Harvard/Harris Poll conducted this year found that 48 percent of black Americans said they would like to see between only one and 250,000 legal immigrants brought to the U.S. a year."" URL #MAGA #tcot""",harvard harris poll conducted year found 48 percent black americans said would like see one 250 000 legal immigrants brought u year maga tcot,NOT,,
78366,@USER Any doubt that @USER have officially become The National Socialist American Workers Party is gone. With ppl like those on @USER and @USER acting as Der Sturmer and #Antifa as their Einsatzgruppen/Waffen SS detachment.,doubt officially become national socialist american workers party gone ppl like acting der sturmer antifa einsatzgruppen waffen ss detachment,NOT,,
39021,@USER Oh my Carmen. He is SO FRICKING CUTE,oh carmen fricking cute,OFF,TIN,IND
68840,@USER Chelsea is as crazy as her mother,chelsea crazy mother,OFF,TIN,IND
96837,@USER It's time the #Conservatives #binnedBoris and sent 'lyin Lynton back to Australia.,time conservatives binnedboris sent lyin lynton back australia,NOT,,
